myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.997,1.8622050284422969,0.994,2.6865939596521926,1,0.931,0,Fgf14
0.997,1.9946571051707576,0.994,2.8776819139037872,1,0.603,0,Rbfox3
0.996,2.1846217526222054,0.992,3.1517429687262117,1,0.324,0,Camk4
0.993,2.344819309804704,0.986,3.3828591900359277,1,0.229,0,Cadps2
0.989,1.376871651277726,0.978,1.9864059032389725,1,0.885,0,Cacna1a
0.987,1.8147024245244028,0.974,2.6180621885505344,1,0.828,0,Rims1
0.981,1.8980714230434637,0.962,2.7383382292778626,1,0.347,0,Chn2
0.98,1.54270249512581,0.96,2.2256492392850364,0.962,0.008,0,Gabra6
0.98,1.922305208323653,0.96,2.77330019112356,1,0.363,0,Olfm3
0.976,1.5307339457566647,0.952,2.2083822724635356,1,0.729,0,Tenm1
0.976,2.058933537458709,0.952,2.9704132040116504,1,0.492,0,Srrm4
0.976,1.892512765039636,0.952,2.730318780941743,1,0.42,0,Sphkap
0.975,1.6777254069961045,0.95,2.4204461246466975,1,0.813,0,Pde10a
0.975,1.848926262453041,0.95,2.667436749810368,1,0.656,0,Car10
0.975,1.5167660703399581,0.95,2.188230887868098,1,0.76,0,Cacnb4
0.973,1.9506925589355282,0.946,2.8142544810752885,0.962,0.046,0,Fat2
0.971,1.3378433623871402,0.942,1.9300999844021436,1,0.725,0,Sh3gl2
0.969,1.8377584907171711,0.938,2.651325060909249,1,0.5,0,Caln1
0.969,1.504305291034325,0.938,2.17025378335825,0.962,0.088,0,Neurod1
0.963,1.4016702556252527,0.9259999999999999,2.0221827267521175,1,0.824,0,Dlgap1
0.959,1.4362170431553425,0.9179999999999999,2.0720232058004227,1,0.939,0,Grik2
0.958,1.792175933452857,0.9159999999999999,2.5855633315929856,0.923,0.034,0,Il16
0.958,1.539542550833795,0.9159999999999999,2.221090403325461,1,0.553,0,Zfp385b
0.956,1.7063733276324364,0.9119999999999999,2.4617763376805146,1,0.485,0,Cnksr2
0.955,1.6583948436396347,0.9099999999999999,2.3925580167547293,1,0.76,0,Astn2
0.955,1.516161794779721,0.9099999999999999,2.187359102514013,1,0.553,0,Maml3
0.953,1.7224613008374958,0.9059999999999999,2.484986376841408,0.962,0.382,0,Ndst3
0.953,1.7550937548663939,0.9059999999999999,2.5320650564409357,1,0.248,0,Lhfp
0.952,1.8098936418409197,0.9039999999999999,2.61112458162036,0.962,0.37,0,Gabrb2
0.947,1.8813496696165555,0.8939999999999999,2.714213838533894,0.923,0.263,0,Grm4
0.946,1.5043172599868626,0.8919999999999999,2.17027105090672,1,0.844,0,Kcnd2
0.945,1.2662618029034176,0.8899999999999999,1.8268296235158787,1,0.698,0,Erc1
0.945,1.5141528159272273,0.8899999999999999,2.18446075868627,1,0.256,0,Reln
0.941,1.6956458139750865,0.8819999999999999,2.446299806925987,0.962,0.294,0,Trhde
0.941,1.2662762549191124,0.8819999999999999,1.8268504733672528,1,0.668,0,Cacna1e
0.934,1.6887231612056457,0.8680000000000001,2.4363125301057185,0.962,0.469,0,Mctp1
0.934,1.527648256149512,0.8680000000000001,2.203930563369574,1,0.565,0,Lrrtm3
0.933,1.439791770209259,0.8660000000000001,2.0771804467936406,1,0.382,0,Pld5
0.932,1.308755157170379,0.8640000000000001,1.888134574987562,1,0.76,0,Prkce
0.932,1.2927612218838735,0.8640000000000001,1.8650602038654212,1,0.809,0,Rgs7
0.93,0.9350506028314549,0.8600000000000001,1.3489928676851761,1,0.947,0,Nrxn1
0.93,1.2636309721898853,0.8600000000000001,1.8230341370920473,0.923,0.244,0,Usp3
0.929,1.1116515184500595,0.8580000000000001,1.603774132864586,1,0.882,0,Rora
0.928,1.3524931097881008,0.8560000000000001,1.9512351023277852,0.923,0.218,0,Nrep
0.928,1.8083691279634304,0.8560000000000001,2.60892517300954,0.923,0.248,0,Pde1c
0.927,1.3573925647702947,0.8540000000000001,1.9583035217336553,0.923,0.229,0,Adcy1
0.927,1.1796577073477028,0.8540000000000001,1.7018863243369746,1,0.924,0,Nav2
0.926,1.4804492652189034,0.8520000000000001,2.1358368132190217,1,0.408,0,Grm1
0.923,1.2837080251126292,0.8460000000000001,1.8519992017793547,1,0.828,0,Rock2
0.922,1.4780219807110735,0.8440000000000001,2.1323349818967485,0.923,0.26,0,Airn
0.92,1.5184856576613748,0.8400000000000001,2.1907117279690818,1,0.66,0,D430041D05Rik
0.918,1.4195890628917396,0.8360000000000001,2.0480341011341237,0.962,0.302,0,Arpp21
0.917,1.3858506463324716,0.8340000000000001,1.9993598548766212,0.962,0.504,0,Grin2a
0.916,0.8729857671372581,0.8320000000000001,1.2594522370155694,1,0.931,0,Syne1
0.912,1.0862190165600503,0.8240000000000001,1.567082788510472,1,0.679,0,Rapgef4
0.912,1.2400063742007208,0.8240000000000001,1.788951046730084,0.962,0.775,0,Nmnat2
0.911,1.2268383739723188,0.8220000000000001,1.7699536381021437,1,0.885,0,Ralyl
0.911,1.008810140079843,0.8220000000000001,1.4554053862916905,1,0.771,0,Plcb4
0.908,1.1598594075477853,0.8160000000000001,1.6733234153976007,1,0.756,0,Ntm
0.906,1.142987395525937,0.812,1.6489822473238618,0.962,0.447,0,Nfib
